,carbon_price,prod_price,carbon_rate,region,land_use,allocation
49,50,20,0.5,ALL,Welfare,7500.000075089975
50,50,20,1.0,Tropics,Agriculture,-9.916469843627837e-09
51,50,20,1.0,Tropics,Forest,100.00000100986635
52,50,20,1.0,RoW,Agriculture,-9.916469862485887e-09
53,50,20,1.0,RoW,Forest,200.00000200986636
54,50,20,1.0,ALL,Welfare,15000.000150589975
55,50,20,2.0,Tropics,Agriculture,-9.968676200200159e-09
56,50,20,2.0,Tropics,Forest,100.00000100994362
57,50,20,2.0,RoW,Agriculture,-9.968676202852077e-09
58,50,20,2.0,RoW,Forest,200.00000200994361
59,50,20,2.0,ALL,Welfare,30000.000301589975
60,50,50,0.5,Tropics,Agriculture,100.00000100984964
61,50,50,0.5,Tropics,Forest,-9.899763803301513e-09
62,50,50,0.5,RoW,Agriculture,200.00000200984962
63,50,50,0.5,RoW,Forest,-9.899763830457124e-09
64,50,50,0.5,ALL,Welfare,15000.000150489974
65,50,50,1.0,Tropics,Agriculture,50.00000050002833
66,50,50,1.0,Tropics,Forest,50.000000499921555
67,50,50,1.0,RoW,Agriculture,100.00000099991598
68,50,50,1.0,RoW,Forest,100.00000100003389
69,50,50,1.0,ALL,Welfare,15000.000149994987
70,50,50,2.0,Tropics,Agriculture,-9.94988191522856e-09
71,50,50,2.0,Tropics,Forest,100.00000100992482
72,50,50,2.0,RoW,Agriculture,-9.94988192201747e-09
73,50,50,2.0,RoW,Forest,200.00000200992483
74,50,50,2.0,ALL,Welfare,30000.000300989974
75,50,80,0.5,Tropics,Agriculture,100.00000100992311
76,50,80,0.5,Tropics,Forest,-9.954438105875371e-09
77,50,80,0.5,RoW,Agriculture,200.0000020099231
78,50,80,0.5,RoW,Forest,-9.954438111486045e-09
79,50,80,0.5,ALL,Welfare,24000.000241089976
80,50,80,1.0,Tropics,Agriculture,100.00000100988514
81,50,80,1.0,Tropics,Forest,-9.916469843627797e-09
82,50,80,1.0,RoW,Agriculture,200.00000200988515
83,50,80,1.0,RoW,Forest,-9.916469862485874e-09
84,50,80,1.0,ALL,Welfare,24000.000240589976
85,50,80,2.0,Tropics,Agriculture,-9.874704737154522e-09
86,50,80,2.0,Tropics,Forest,100.00000100984964
87,50,80,2.0,RoW,Agriculture,-9.874704779585235e-09
88,50,80,2.0,RoW,Forest,200.00000200984962
89,50,80,2.0,ALL,Welfare,30000.00030038998
90,100,20,0.5,Tropics,Agriculture,-9.916469843627837e-09
91,100,20,0.5,Tropics,Forest,100.00000100986635
92,100,20,0.5,RoW,Agriculture,-9.916469862485887e-09
93,100,20,0.5,RoW,Forest,200.00000200986636
94,100,20,0.5,ALL,Welfare,15000.000150589975
95,100,20,1.0,Tropics,Agriculture,-9.968676200200159e-09
96,100,20,1.0,Tropics,Forest,100.00000100994362
97,100,20,1.0,RoW,Agriculture,-9.968676202852077e-09
98,100,20,1.0,RoW,Forest,200.00000200994361
99,100,20,1.0,ALL,Welfare,30000.000301589975
100,100,20,2.0,Tropics,Agriculture,-9.98607831250966e-09
101,100,20,2.0,Tropics,Forest,100.00000100997354
102,100,20,2.0,RoW,Agriculture,-9.986078313033496e-09
103,100,20,2.0,RoW,Forest,200.00000200997357
104,100,20,2.0,ALL,Welfare,60000.00060358998
105,100,50,0.5,Tropics,Agriculture,50.00000050002833
106,100,50,0.5,Tropics,Forest,50.000000499921555
107,100,50,0.5,RoW,Agriculture,100.00000099991598
108,100,50,0.5,RoW,Forest,100.00000100003389
109,100,50,0.5,ALL,Welfare,15000.000149994987
110,100,50,1.0,Tropics,Agriculture,-9.94988191522856e-09
111,100,50,1.0,Tropics,Forest,100.00000100992482
112,100,50,1.0,RoW,Agriculture,-9.94988192201747e-09
113,100,50,1.0,RoW,Forest,200.00000200992483
114,100,50,1.0,ALL,Welfare,30000.000300989974
115,100,50,2.0,Tropics,Agriculture,-9.98329397476015e-09
116,100,50,2.0,Tropics,Forest,100.00000100997076
117,100,50,2.0,RoW,Agriculture,-9.983293975514475e-09
118,100,50,2.0,RoW,Forest,200.00000200997076
119,100,50,2.0,ALL,Welfare,60000.00060298998
120,100,80,0.5,Tropics,Agriculture,100.00000100988514
121,100,80,0.5,Tropics,Forest,-9.916469843627797e-09
122,100,80,0.5,RoW,Agriculture,200.00000200988515
123,100,80,0.5,RoW,Forest,-9.916469862485874e-09
124,100,80,0.5,ALL,Welfare,24000.000240589976
125,100,80,1.0,Tropics,Agriculture,-9.874704737154522e-09
126,100,80,1.0,Tropics,Forest,100.00000100984964
127,100,80,1.0,RoW,Agriculture,-9.874704779585235e-09
128,100,80,1.0,RoW,Forest,200.00000200984962
129,100,80,1.0,ALL,Welfare,30000.00030038998
130,100,80,2.0,Tropics,Agriculture,-9.979117467978736e-09
131,100,80,2.0,Tropics,Forest,100.00000100996658
132,100,80,2.0,RoW,Agriculture,-9.979117469157369e-09
133,100,80,2.0,RoW,Forest,200.00000200996658
134,100,80,2.0,ALL,Welfare,60000.000602389984
